"SubjectID","dSet","Subjects","Session","Hemisphere","Atlas","Finess","Region","AvgCortThickness","PialArea","SmoothPialArea","WhiteArea","GaussianCurvature","ConvexHullArea","PialFullArea","WhiteFullArea","SmoothPialFullArea","ConvexHullFullArea","PialVol","WhiteVol","GreymatterVol","PialFullVol","WhiteFullVol","GreymatterFullVol","SmoothPialFullVol","subject","At.log","Ae.log","T.log","K","I","S"
"sub-176","IDEAS","sub-176","ses-01","left","hemisphere","hemisphere","hemisphere",2.530245044,96050.27022,38142.86368,82571.10293,NA,40410.46847,101994.3486,88355.8214,41137.96646,43405.57126,NA,NA,230924.5885,1059139.408,828214.8192,230924.5885,626684.7775,"sub-176",4.98249859100812,4.58141329578221,0.403162582876855,-0.542686737281207,10.370237052544,9.09557623540299
"sub-185","IDEAS","sub-185","ses-01","right","hemisphere","hemisphere","hemisphere",2.588531591,103406.3901,38002.44346,80511.32505,NA,39845.79938,108544.4844,85360.24706,40318.84397,42162.19989,NA,NA,306016.5116,1069127.166,763110.6546,306016.5116,586865.4674,"sub-185",5.0145473772436,4.57981152153993,0.413053469574107,-0.50369028989425,10.4204658379317,9.09793909393687
"sub-185","IDEAS","sub-185","ses-01","left","hemisphere","hemisphere","hemisphere",2.589828737,103979.6503,38581.58892,81867.67219,NA,40469.32389,109043.3985,86659.55725,40865.55348,42753.28845,NA,NA,309964.1259,1145628.301,835664.1751,309964.1259,618192.286,"sub-185",5.01694835249902,4.58638010938818,0.413271045534884,-0.509391261468758,10.429870552957,9.1054879058827
"sub-186","IDEAS","sub-186","ses-01","left","hemisphere","hemisphere","hemisphere",2.428539952,89263.30698,35217.80365,71668.46535,NA,37130.11484,94288.7194,76583.26896,37739.45123,39651.76242,NA,NA,218957.6497,869435.0226,650477.3729,218957.6497,525842.1483,"sub-186",4.95067297231587,4.54676226780308,0.385345252462306,-0.540107236206832,10.2681257450436,9.10202752324573
"sub-186","IDEAS","sub-186","ses-01","right","hemisphere","hemisphere","hemisphere",2.450715451,91417.51034,36178.48468,74162.70244,NA,38118.0859,96990.21004,79604.8541,38730.21828,40669.81949,NA,NA,224428.6936,862865.7278,638437.0342,224428.6936,530846.1628,"sub-186",4.96102938955971,4.55845037267039,0.389292888879786,-0.542387131838385,10.2980655399897,9.10856386388332
"sub-197","IDEAS","sub-197","ses-01","left","hemisphere","hemisphere","hemisphere",2.476945469,90614.90006,35600.59576,75317.92235,NA,37449.10954,95631.92333,80201.11972,38042.34145,39890.85523,NA,NA,225927.3736,885143.2981,659215.9245,225927.3736,533215.3997,"sub-197",4.95719961579807,4.55145726575702,0.393916445514751,-0.535163743640837,10.2964897725846,9.07676836819849
"sub-197","IDEAS","sub-197","ses-01","right","hemisphere","hemisphere","hemisphere",2.403081789,88237.39713,34008.27756,71584.03711,NA,35912.48106,92740.5172,75970.01952,36397.11168,38301.31518,NA,NA,218988.4829,853945.5052,634957.0223,218988.4829,514098.5331,"sub-197",4.94565268858954,4.53158463648637,0.380768552288254,-0.528443830874295,10.2387744296524,9.10370902495194
"sub-199","IDEAS","sub-199","ses-01","left","hemisphere","hemisphere","hemisphere",2.609500323,103861.3239,36883.52551,82897.1605,NA,38599.21859,108273.546,87135.42613,39096.91718,40812.61025,NA,NA,290122.2563,1135809.133,845686.8772,290122.2563,587684.082,"sub-199",5.01645385416121,4.5668324263827,0.416557354947796,-0.483808001343268,10.4164009904395,9.07529700376377
"sub-199","IDEAS","sub-199","ses-01","right","hemisphere","hemisphere","hemisphere",2.655156328,104234.1161,36959.84618,80572.43039,NA,38490.76205,108789.0923,84909.57871,39154.14624,40685.06211,NA,NA,308519.4416,1014051.082,705531.6406,308519.4416,552523.6735,"sub-199",5.01800988795564,4.56773015509904,0.4240900961855,-0.479607757825404,10.4339202354257,9.04440701542299
"sub-201","IDEAS","sub-201","ses-01","left","hemisphere","hemisphere","hemisphere",2.354695869,113524.3809,41237.03739,93658.66322,NA,43150.53861,119839.1496,99864.07275,44169.34681,46082.84803,NA,NA,285754.8966,1181842.006,896087.1092,285754.8966,661172.7426,"sub-201",5.05508914217444,4.61528745652922,0.371934821891858,-0.528052767541152,10.4142462424874,9.37039260714521
"sub-201","IDEAS","sub-201","ses-01","right","hemisphere","hemisphere","hemisphere",2.357363469,112016.1054,41524.5184,91355.79753,NA,43508.85061,118419.7479,97541.9455,44435.55631,46419.88852,NA,NA,286645.206,1131738.057,845092.8513,286645.206,662877.8818,"sub-201",5.04928046895143,4.61830460421951,0.372426549181602,-0.537387011732158,10.4124381715341,9.36172968527457
"sub-203","IDEAS","sub-203","ses-01","left","hemisphere","hemisphere","hemisphere",2.442937459,82531.01108,33625.21789,68301.37395,NA,35790.53436,87770.26933,73328.77875,35931.23455,38096.55102,NA,NA,201306.4839,815157.0257,613850.5418,201306.4839,488000.464,"sub-203",4.91661716564461,4.52666510722959,0.387912348856833,-0.547758043963964,10.2191069705879,9.02431900903335
"sub-203","IDEAS","sub-203","ses-01","right","hemisphere","hemisphere","hemisphere",2.415047695,81480.43189,32247.53508,66841.30822,NA,33697.59502,86543.42046,71746.24283,34449.10092,35899.16086,NA,NA,193141.1811,775510.8351,582369.654,193141.1811,466276.7624,"sub-203",4.91105332232796,4.50849652386845,0.382925712094063,-0.533104476460568,10.1854012703845,9.02478667197
"sub-207","IDEAS","sub-207","ses-01","right","hemisphere","hemisphere","hemisphere",2.44646129,77077.38724,30466.19448,63184.46287,NA,32029.3418,81873.54964,67801.94985,32602.63152,34165.77884,NA,NA,189266.5605,704124.2289,514857.6685,189266.5605,435484.0958,"sub-207",4.88692698457083,4.48381821006276,0.388538348372108,-0.523576603821572,10.1478218913778,8.94483156672882
"sub-207","IDEAS","sub-207","ses-01","left","hemisphere","hemisphere","hemisphere",2.489974311,78144.30678,31267.3294,63925.75748,NA,33036.12914,83302.80239,68945.69494,33540.86398,35309.66372,NA,NA,204410.5053,790648.2252,586237.7199,204410.5053,464671.5154,"sub-207",4.8928973428914,4.49509078893806,0.396194866514011,-0.527868710024169,10.1803778648575,8.92778720672759
"sub-208","IDEAS","sub-208","ses-01","left","hemisphere","hemisphere","hemisphere",2.581889469,107566.3309,39601.62131,83396.80464,NA,42260.1634,113152.6832,88778.15629,42456.44093,45114.98302,NA,NA,332926.9473,1162736.81,829809.8629,332926.9473,646979.8721,"sub-208",5.03167635504274,4.59771296652078,0.411937646129134,-0.509496030043673,10.4532646138218,9.14207984987358
"sub-208","IDEAS","sub-208","ses-01","right","hemisphere","hemisphere","hemisphere",2.598092482,110112.8847,39518.0741,85559.75506,NA,41502.76846,115814.275,91001.27372,42435.25303,44419.94739,NA,NA,323073.6447,1126306.216,803232.571,323073.6447,631602.8963,"sub-208",5.04183814028609,4.59679577123635,0.414654606208687,-0.49682927065501,10.4679431239398,9.14440831091731
"sub-215","IDEAS","sub-215","ses-01","right","hemisphere","hemisphere","hemisphere",2.607838966,108420.1083,37360.79411,82087.40409,NA,39171.91207,113744.1667,87160.21418,39694.11106,41505.22902,NA,NA,327974.8623,1085002.315,757027.4523,327974.8623,589913.5705,"sub-215",5.03510983675816,4.57241609865885,0.416280770212937,-0.472269901458937,10.4400874758429,9.10871336317316
"sub-215","IDEAS","sub-215","ses-01","left","hemisphere","hemisphere","hemisphere",2.590348836,109099.8027,36817.01948,82563.72184,NA,38682.18269,114295.4894,87462.79169,39309.97794,41175.14115,NA,NA,342681.4175,1117958.155,775276.7375,342681.4175,583023.1285,"sub-215",5.03782396519532,4.56604862730263,0.413358253405008,-0.463057692230463,10.430589099308,9.12116027794742
"sub-217","IDEAS","sub-217","ses-01","left","hemisphere","hemisphere","hemisphere",2.432023418,99615.94683,37140.39938,81007.17731,NA,38855.52111,104049.375,85283.84349,39163.55677,40878.6785,NA,NA,250839.7436,1095693.859,844854.1151,250839.7436,588423.5642,"sub-217",4.99832886719785,4.56984656950601,0.385967752450702,-0.520995468459311,10.3401109416053,9.18802334189813
"sub-217","IDEAS","sub-217","ses-01","right","hemisphere","hemisphere","hemisphere",2.452272517,100779.36,37821.71021,79995.56351,NA,39566.13967,105714.7501,84710.76997,39883.8765,41628.30595,NA,NA,269330.2791,1104203.799,834873.5201,269330.2791,603061.3729,"sub-217",5.00337159603849,4.57774116274205,0.38956873095768,-0.524020491910233,10.3602502206959,9.18530397680472
"sub-219","IDEAS","sub-219","ses-01","right","hemisphere","hemisphere","hemisphere",2.393981141,107123.3834,40591.8711,88723.16414,NA,43047.40298,112612.4306,93994.52545,42948.62232,45404.15421,NA,NA,250201.2768,1072454.076,822252.7992,250201.2768,623826.5684,"sub-219",5.02988428103854,4.60843907077223,0.379120724854062,-0.541104194999711,10.3965648015189,9.2951124627937
"sub-219","IDEAS","sub-219","ses-01","left","hemisphere","hemisphere","hemisphere",2.484647015,113590.3609,41901.34363,96404.23703,NA,43993.70163,119026.001,101644.2027,44174.16659,46266.52459,NA,NA,274051.3342,1220826.268,946774.9342,274051.3342,681372.0095,"sub-219",5.0553414793895,4.62222794949944,0.395264698772959,-0.524811108098321,10.4680988264349,9.27099203673051
"sub-222","IDEAS","sub-222","ses-01","left","hemisphere","hemisphere","hemisphere",2.523259624,91124.78105,35486.92718,74816.19627,NA,37242.4208,95882.0575,79431.5891,37764.38886,39519.88248,NA,NA,230362.0142,889756.0493,659394.0351,230362.0142,529866.9642,"sub-222",4.95963649782654,4.55006839533108,0.401961938377126,-0.526968027148751,10.3136287699119,9.04317732054106
"sub-222","IDEAS","sub-222","ses-01","right","hemisphere","hemisphere","hemisphere",2.539884132,89790.20193,35002.30879,74388.18878,NA,36824.6637,94452.79214,78904.49079,37290.74342,39113.09832,NA,NA,222059.1411,856065.6405,634006.4994,222059.1411,514539.9329,"sub-222",4.95322894824975,4.54409669182704,0.404813904816468,-0.524484964125812,10.3069534497097,9.0162533695708
"sub-227","IDEAS","sub-227","ses-01","right","hemisphere","hemisphere","hemisphere",2.426805241,90539.10468,34928.26488,76317.64635,NA,37012.54434,95706.29621,81294.84313,37304.62227,39388.90174,NA,NA,203853.4907,891422.7118,687569.2211,203853.4907,522616.1269,"sub-227",4.95683619554406,4.54317701186845,0.385034924188164,-0.52961760719742,10.2700830557888,9.10997989337068
"sub-227","IDEAS","sub-227","ses-01","left","hemisphere","hemisphere","hemisphere",2.473389531,89784.30325,34396.02763,74876.61246,NA,36249.79006,94453.02398,79394.54064,36787.10688,38640.86931,NA,NA,216708.1749,911019.221,694311.0461,216708.1749,518144.7787,"sub-227",4.95320041675891,4.53650828914168,0.393292518238311,-0.520788685549032,10.2762937423772,9.06236550992222
"sub-229","IDEAS","sub-229","ses-01","right","hemisphere","hemisphere","hemisphere",2.568634349,92279.17012,35658.57197,74765.82019,NA,37133.73077,97466.54712,79736.4956,38117.16196,39592.32077,NA,NA,240080.3993,896050.2877,655969.8884,240080.3993,551271.4425,"sub-229",4.96510368019317,4.55216394686045,0.40970228584912,-0.520250110457829,10.3366721987519,9.01811819411405
"sub-229","IDEAS","sub-229","ses-01","left","hemisphere","hemisphere","hemisphere",2.573213472,91806.02691,35991.96953,74793.8446,NA,37815.63486,96585.88682,79386.31295,38438.00349,40261.66881,NA,NA,241840.2671,944948.7069,703108.4398,241840.2671,562012.2507,"sub-229",4.96287119283347,4.55620561249363,0.410475816473062,-0.527147914547035,10.3400284382732,9.01431982449164
