"SubjectID","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent","eTIV"
"sub-185",900,526,2014,2264,430,2876,4570,3202,1136,5101,2579,3158,1789,2979,675,1073,1394,585,1059,1374,3659,927,4764,3372,666,5799,6988,5313,3950,3510,321,472,441,1997,81862.6,1070000,1400000
"sub-186",857,907,1647,1073,322,2712,3384,2679,890,3941,1867,2523,1586,2601,477,1058,1494,607,1229,993,3244,1052,4187,3211,1001,4282,6298,5478,3540,3353,263,378,486,2049,71668.4,959288,1460000
"sub-197",706,659,1862,1289,523,2853,3352,2429,799,4245,2011,2391,1468,2600,518,1051,1622,672,1219,1120,3818,820,4497,3332,642,5312,6952,5442,3929,3635,261,394,504,2388,75314.7,1010000,1290000
"sub-199",950,561,2276,1263,403,2683,5565,3437,751,5548,2909,3187,1794,2951,547,1428,1133,759,983,1240,3987,1037,4365,3351,717,4950,6357,6244,3830,4289,240,621,387,2155,82896.8,1050000,1300000
"sub-201",963,957,2307,1544,541,3394,4781,3640,906,6180,2485,3807,2149,3582,621,1493,1734,596,1580,1428,4805,1310,5205,3703,994,6580,7941,5711,4019,4871,284,465,550,2523,93648.3,1180000,1760000
"sub-203",766,251,1797,1118,384,2667,3412,2881,664,3834,2477,2527,1775,2842,621,1081,1424,616,1012,1057,3335,612,4233,3103,568,4149,5299,4382,2852,3388,303,471,313,2075,68289.2,886882,1170000
"sub-207",804,496,1711,862,323,2973,3098,2919,641,3483,1509,2320,1323,2664,643,1235,1323,550,1041,794,3062,908,4094,2320,426,4129,5627,3481,3140,3168,171,443,396,1848,63925.7,877423,1140000
"sub-208",919,514,1924,1316,390,3148,4681,3208,921,5038,2739,3084,1872,3505,541,1215,1539,579,1038,1255,4211,1142,4546,3642,633,6076,7472,5605,3607,3695,256,568,389,2125,83389.6,1160000,1520000
"sub-215",902,567,2012,1705,427,3269,4108,3402,932,4310,2599,2703,2052,3004,586,1502,1620,778,1211,1458,4286,1056,5021,3653,725,5075,6896,5868,3652,4039,271,506,450,1900,82547.6,1090000,1420000
"sub-217",800,562,2053,1546,367,2766,3950,3272,740,4526,2779,3137,1756,2661,560,1254,1264,712,1018,1582,4117,1068,4615,3585,798,5272,7416,5185,3690,4372,269,433,409,2473,81008,1010000,1430000
"sub-219",1323,737,2387,1603,467,3436,5980,4430,848,5464,2814,4266,2246,4120,821,1603,1616,822,1417,1972,4384,939,5150,4569,1141,5947,8357,5694,4014,4466,314,481,397,2171,96396,1240000,1700000
"sub-222",955,585,2009,1102,553,2877,3869,2349,766,3900,1853,3031,1381,2402,673,1307,1435,659,1235,1279,3145,894,4630,3588,719,4897,6945,5248,3455,3954,186,398,374,2145,74799,992910,1270000
"sub-227",704,676,2051,1429,295,2781,3048,2998,807,4356,2028,3257,1543,2688,650,1386,1487,506,1216,1578,3956,1124,4547,3399,632,4263,6984,5064,3050,3443,291,330,373,1930,74869.9,1e+06,1080000
"sub-229",832,750,2332,1218,335,2946,3934,2270,771,4231,2120,2589,1651,2309,590,1298,1514,745,1336,864,3677,1078,4365,3281,938,5704,6338,4749,3546,3359,175,421,446,2079,74790.4,1010000,1120000
"sub-023",1021,525,1746,1447,284,2655,5690,3544,1023,5570,2587,2584,1493,2989,571,1157,1473,686,1231,943,3673,975,4636,3570,788,4856,6008,5603,3287,3971,266,489,344,2161,79845.1,1050000,1360000
"sub-236",818,676,1715,1526,396,2620,3455,2571,727,4983,2182,3286,1638,2763,528,1033,1694,675,1469,1409,3579,994,4144,3565,508,5290,6794,4723,4147,4257,228,418,571,2316,77697.7,1140000,1520000
"sub-240",888,549,2134,1658,422,3512,4266,2951,847,4776,2174,2764,1843,2946,587,1665,2052,628,1500,1445,4909,1390,4665,3737,557,4928,7544,5724,3691,3839,288,422,473,2185,83956.6,1150000,1570000
"sub-246",1005,579,2130,1420,486,3524,4987,3125,784,5394,2589,2884,1917,3132,746,1652,1983,648,1390,1017,3928,1226,4591,3882,779,5889,7206,5699,4058,4235,238,510,514,2661,86805.3,1210000,1810000
"sub-250",974,987,2443,1535,302,2786,3785,3232,828,4621,2460,2708,1583,3072,520,1412,1699,753,1282,1156,4858,1087,4993,3832,1169,6407,7698,4482,3894,3771,263,406,491,2531,84017.4,1050000,1470000
"sub-251",659,500,2146,917,474,2423,3839,2583,913,4165,2251,2740,1467,2644,644,1099,1558,730,1294,1382,4060,743,4805,3810,822,5154,7013,4846,4065,3629,197,364,534,2580,77051.5,1050000,1600000
"sub-026",955,638,2375,1585,260,2839,4164,3267,1070,5412,2549,3800,1670,3405,506,1157,1747,825,1433,1630,3869,1018,4752,3634,882,6361,8346,4903,4050,4235,216,395,422,2118,86486,1160000,1410000
"sub-263",659,241,1717,1423,266,3182,3598,2811,644,4637,1767,3026,1303,2311,601,1028,1378,561,980,1408,3206,623,4021,3131,353,4132,5976,4465,3327,2985,253,548,400,1821,68785.7,992203,1490000
"sub-264",752,477,1737,1113,312,1993,3234,1869,602,3691,1853,2092,1373,1904,472,1091,880,485,790,888,3095,831,4098,2653,686,3934,5463,4117,2775,3094,214,291,337,1697,60892.8,855774,871677
"sub-267",944,740,2866,1429,436,3193,4732,3831,1154,6015,2712,3608,1672,3393,675,1391,2090,821,1586,1116,4151,1257,5231,4373,1011,6380,6868,5130,4047,4032,118,479,472,2618,90565.3,1270000,1660000
"sub-270",915,659,1593,1168,374,3112,4225,2613,596,4631,1918,2682,1434,2596,499,1229,1110,573,1144,1047,3583,1066,4352,3284,600,4170,6752,4731,3533,3161,188,372,537,1757,72203.7,1060000,1420000
"sub-273",837,562,1883,1650,501,2934,4093,3177,704,4955,2452,3044,1652,3216,594,1255,1219,621,1096,1494,3260,1055,3778,3517,693,5332,5695,5251,3101,3498,236,410,367,2007,76140.2,1020000,1300000
"sub-282",1275,1073,2442,1422,379,3353,5168,2882,968,4668,2884,3071,1820,3078,604,1431,1735,781,1606,1767,4523,1180,5266,3587,1095,7448,8066,5177,4030,4953,276,541,467,2728,91743.3,1240000,1490000
"sub-029",819,645,1842,988,489,3111,3817,3639,846,4229,2269,2507,1864,2670,476,1237,1515,627,1414,1078,4253,994,4704,3666,868,4140,6456,5167,2894,3519,268,444,368,2041,75863.2,1040000,1490000
"sub-290",1044,465,2593,1301,357,3082,4775,2472,867,4765,2921,2295,1996,3023,613,1278,1471,676,1143,1124,3693,1062,4758,3468,778,5672,7252,4691,4094,4391,289,514,510,2506,81937.2,1150000,1590000
"sub-300",1128,812,2482,2064,464,3965,4371,4183,738,6665,2538,3680,1894,3556,656,1468,2302,808,1588,1882,5150,1229,5796,3992,828,5744,7473,5604,4216,4314,182,564,456,2949,95743,1290000,1740000
"sub-303",1059,657,2288,1421,459,3175,4436,2737,808,4449,2172,2813,2071,2674,619,1430,1527,666,1392,1422,3671,977,4626,3241,845,5101,7102,5135,4093,4097,208,488,482,2280,80622.7,1110000,1450000
"sub-305",683,609,2143,1220,347,3176,3368,3016,720,4388,2157,2671,1590,2714,601,1181,1287,629,1303,994,3345,1025,4196,3079,608,5421,6143,5107,3278,2850,229,396,383,1777,72632.6,978322,1400000
"sub-031",941,669,1832,1433,359,3550,4976,3370,1041,4946,2709,2371,1637,3060,779,1273,1487,850,1070,1132,4035,1138,4820,4029,923,5629,6405,6039,3810,3718,262,556,575,2327,83753.8,1050000,1530000
"sub-311",725,581,1710,1572,397,2890,3341,3071,800,4937,2513,3109,1684,2672,573,1144,1490,651,1533,1414,3385,897,4333,3049,649,5874,7009,4792,3951,3359,289,451,441,2300,77591.4,1050000,1450000
"sub-314",997,671,2115,1411,475,3355,4550,3232,890,6057,2592,3621,1873,2871,609,1207,1778,726,1486,1399,3986,1302,4963,3416,912,5179,7517,4530,4312,4335,290,432,462,2558,86106.9,1240000,1680000
"sub-317",894,600,2431,1236,527,2551,3899,3247,732,4555,2489,2787,1801,2913,599,1097,1574,594,1237,1257,3756,1065,4383,3216,915,5069,6510,4798,3800,3068,259,441,424,1910,76633.2,1050000,1170000
"sub-324",812,638,2025,1330,375,3101,4331,3230,886,4630,2433,2768,2031,2880,530,1358,2110,724,1707,1179,4878,1156,5008,3535,654,5368,7906,5593,3910,3891,265,488,434,2489,84655.4,1150000,1670000
"sub-325",1043,679,1969,1448,284,3186,4749,3142,942,5531,2721,3744,1789,2963,626,1220,1928,742,1300,1431,3692,1123,4951,3894,1099,4677,6228,5890,3680,3502,274,526,420,2155,83548.4,1060000,1300000
"sub-327",1093,552,1906,1067,366,2981,3581,2486,915,4525,1941,3025,1620,2034,508,1111,1235,497,1174,1268,3268,969,4185,3385,559,4157,6782,5039,3534,3651,229,375,526,2020,72565.3,1010000,1350000
"sub-033",1015,568,1908,1517,540,3371,4533,3710,850,5011,2435,2944,1666,3228,639,1477,1714,778,1624,1391,3752,1138,4698,4256,753,5683,7587,5972,3824,4567,293,457,467,2468,86836.9,1170000,1700000
"sub-332",790,436,1641,1121,318,2597,3640,2750,750,3896,1781,3112,1312,2530,541,969,1183,516,934,1423,2931,856,3234,3092,431,3501,5532,4641,2786,3475,247,405,308,1677,65351.9,851368,1220000
"sub-334",943,677,1962,1388,440,2854,3947,3589,1040,5146,2727,3167,2190,3904,687,1313,1439,841,1566,1236,4001,1285,4523,3304,950,5976,7530,4793,3790,4036,297,494,393,2290,84715.4,1200000,1730000
"sub-340",1204,462,1628,1322,311,2815,4530,2720,666,4328,1980,2788,1426,2971,750,994,1219,517,926,989,3429,702,3980,3267,410,4679,5287,4727,3439,3856,237,307,445,1705,71014.3,952489,1330000
"sub-346",1502,925,2295,1558,396,3669,5734,4386,1063,5915,3295,3367,2418,3819,823,1491,1575,820,1435,1323,4205,1370,5026,3896,1194,7366,8179,5377,4494,4613,315,597,498,2458,97397.2,1300000,1530000
"sub-348",661,653,2457,1576,473,3301,4215,2766,882,5831,3294,3099,2058,2708,474,1227,1885,776,1579,1454,3991,915,4350,4247,836,4978,7045,5969,4281,4192,283,649,408,2264,85776.3,1070000,1410000
"sub-349",951,563,2249,1608,534,3877,4584,3650,823,4575,2277,3143,1617,3339,641,1307,1547,592,1255,1592,4251,993,4241,3447,792,4543,7290,5610,3991,4342,250,511,454,2442,83882.3,1130000,1450000
"sub-354",796,375,2198,1472,349,2698,4563,2871,988,5222,2662,3126,1807,2693,571,1105,1343,680,1039,1273,3980,1126,4907,3591,570,5060,6881,5805,3242,3438,334,463,363,2103,79693.4,1040000,1410000
"sub-356",709,614,2455,1179,273,2951,3310,2564,810,4276,2069,2721,1297,2553,561,1284,1451,565,1041,1125,3501,1147,4654,3110,685,4265,6528,4517,3243,2831,256,458,360,2188,71554.5,971755,1e+06
"sub-364",1382,426,2093,1649,481,3278,5491,3972,815,5497,2619,2895,1800,3322,628,1373,1381,615,1003,1292,4306,994,5540,3713,855,4823,8021,5312,4080,4265,264,477,488,2269,87418.8,1160000,1370000
